frame_idx,ts_ms,pattern,hip_dist_px,knee_dist_px,ankle_dist_px,la_x,la_y,ra_x,ra_y,lk_x,lk_y,rk_x,rk_y,lh_x,lh_y,rh_x,rh_y,la_conf,ra_conf,lk_conf,rk_conf,lh_conf,rh_conf
203,3944,all_collapse,36.8,42.2,24.2,598.8,787.5,578.8,773.9,461.6,812.0,441.1,775.1,360.7,845.5,352.2,809.8,0.3226,0.1809,0.2284,0.1403,0.9997,0.9997
209,4060,all_collapse,4.4,33.9,2.1,481.2,1043.0,482.3,1044.8,460.7,980.6,494.5,983.5,494.7,926.8,499.2,926.9,0.294,0.1629,0.2107,0.1263,0.9996,0.999
215,4177,all_collapse,13.7,19.6,11.8,328.8,927.5,334.1,917.0,391.2,818.7,371.7,816.8,459.7,743.0,458.7,756.6,0.4421,0.2656,0.3443,0.2172,0.9996,0.9996
216,4196,all_collapse,16.2,20.6,7.8,328.7,930.8,330.1,923.1,400.6,842.3,382.5,832.6,457.3,741.6,467.7,754.1,0.446,0.2549,0.3366,0.2021,0.9996,0.9996
217,4216,all_collapse,13.3,15.7,20.3,363.3,989.9,378.2,1003.6,400.9,867.5,385.4,869.4,456.1,754.8,463.7,765.7,0.4141,0.2328,0.3094,0.1838,0.9996,0.9996
224,4352,all_collapse,20.5,20.1,17.0,412.1,984.6,426.4,975.3,417.4,858.9,434.2,870.0,441.0,786.8,459.7,795.3,0.4,0.2061,0.2927,0.1728,0.9995,0.9996
226,4390,all_collapse,7.3,17.0,17.7,424.3,1026.3,413.5,1012.2,446.8,915.4,430.7,910.1,451.4,812.5,455.2,818.7,0.3608,0.1749,0.2489,0.1449,0.9993,0.9995
227,4410,all_collapse,14.6,31.0,41.3,413.8,1061.6,409.6,1020.5,429.2,944.5,406.5,923.4,451.3,815.5,436.7,814.9,0.3725,0.1619,0.2704,0.1353,0.9994,0.9995
228,4429,all_collapse,5.6,10.3,20.4,385.6,1050.4,394.9,1032.4,410.1,926.9,403.1,919.3,441.4,809.6,435.9,810.7,0.3442,0.1476,0.2472,0.1227,0.9994,0.9995
229,4449,all_collapse,4.7,19.6,27.1,378.9,1075.9,380.8,1048.9,403.2,941.5,392.2,925.4,437.7,811.0,433.4,812.7,0.3455,0.1379,0.2525,0.1141,0.9994,0.9995
230,4468,all_collapse,26.4,22.6,24.7,370.3,1047.8,359.9,1025.4,406.8,924.7,386.5,914.9,439.2,801.1,417.5,785.9,0.3606,0.1428,0.2859,0.1306,0.9994,0.9995
234,4546,hip+ankle,37.2,53.0,15.5,306.7,974.2,314.5,960.8,398.5,848.1,352.4,822.1,436.5,762.8,403.4,745.9,0.3266,0.114,0.244,0.1092,0.9991,0.9991
235,4565,hip+ankle,45.8,82.2,28.0,288.6,953.3,271.5,931.1,395.9,830.3,318.8,801.7,437.8,747.6,396.8,727.1,0.3178,0.1127,0.2287,0.1068,0.9991,0.9992
236,4585,knee+ankle,50.0,41.2,29.4,233.3,939.5,225.8,911.0,338.7,827.2,306.5,801.5,422.4,736.5,380.8,708.9,0.2932,0.1067,0.2063,0.0977,0.9991,0.9992
237,4604,all_collapse,5.5,5.1,14.7,223.7,899.2,238.3,897.5,334.1,796.0,329.4,798.1,425.6,695.6,420.1,695.2,0.2828,0.1045,0.1965,0.092,0.9992,0.9992
253,4915,ankle_only,55.2,75.5,30.4,262.1,939.3,236.8,922.4,396.1,835.3,336.0,789.6,446.5,751.3,402.0,718.8,0.3706,0.2912,0.3153,0.2384,0.9994,0.9996
255,4954,ankle_only,53.6,70.6,29.3,265.0,955.4,249.2,930.7,366.3,863.4,317.7,812.2,436.7,758.5,391.1,730.2,0.3195,0.2619,0.2624,0.2096,0.9994,0.9996
267,5187,all_collapse,21.6,27.6,3.1,403.8,1012.9,401.2,1011.2,419.6,896.2,392.1,897.6,447.5,780.2,426.0,782.7,0.4058,0.3197,0.3634,0.2898,0.9996,0.9996
269,5226,hip+ankle,35.7,58.2,39.9,470.0,1047.3,430.6,1053.6,485.8,908.2,427.8,903.5,461.7,786.5,426.2,790.3,0.4666,0.3839,0.4643,0.3825,0.9997,0.9997
275,5342,all_collapse,18.7,38.2,26.0,444.8,1070.2,432.5,1047.3,467.6,932.2,431.6,919.4,462.9,807.8,445.7,815.2,0.3222,0.2469,0.3178,0.2561,0.9995,0.9996
278,5401,all_collapse,12.0,28.3,21.8,447.6,1095.2,434.3,1077.9,461.4,960.4,477.4,937.1,469.9,827.0,458.5,823.1,0.3323,0.2978,0.2939,0.3187,0.9995,0.9996
279,5420,all_collapse,19.0,31.8,24.4,450.8,1085.5,440.0,1063.5,501.2,960.6,469.4,958.7,475.2,850.1,457.3,843.6,0.3633,0.319,0.3119,0.3643,0.9995,0.9997
285,5537,all_collapse,18.1,10.9,10.2,376.2,962.2,380.5,971.4,432.7,860.5,442.1,866.0,463.9,770.4,481.3,775.2,0.5562,0.4709,0.4644,0.4874,0.9997,0.9998
297,5770,all_collapse,24.4,36.1,43.1,236.0,904.3,279.0,901.7,359.2,834.5,337.3,805.7,461.3,780.1,436.9,778.7,0.6096,0.4429,0.5196,0.4357,0.9998,0.9998
300,5828,all_collapse,12.7,13.7,23.5,201.8,913.9,201.2,890.5,309.7,810.1,311.5,796.5,432.1,761.1,421.6,753.9,0.5625,0.3654,0.4515,0.3468,0.9998,0.9998
307,5964,all_collapse,23.0,23.9,20.9,362.7,1093.8,356.6,1073.8,422.6,964.6,415.5,941.8,425.7,852.5,404.2,844.3,0.3977,0.302,0.2868,0.2908,0.9991,0.9992
309,6003,hip+ankle,45.7,49.7,19.7,306.7,1073.7,305.2,1054.0,364.3,945.9,317.3,929.6,409.6,829.1,364.0,826.9,0.3406,0.2527,0.2447,0.2413,0.9992,0.9993
310,6022,all_collapse,24.8,25.7,12.9,360.4,1074.2,360.4,1061.3,389.7,952.1,375.3,930.8,418.3,827.6,393.6,825.8,0.3178,0.2355,0.2292,0.229,0.9992,0.9993
311,6042,all_collapse,16.8,5.1,16.6,370.0,1089.7,374.6,1073.7,398.1,957.9,395.4,953.6,430.8,833.9,414.9,828.6,0.3037,0.219,0.2179,0.2102,0.9993,0.9993
312,6061,all_collapse,15.4,16.8,20.0,387.5,1084.4,374.2,1069.6,404.5,956.4,393.1,943.9,432.8,823.5,417.8,826.4,0.303,0.2058,0.2204,0.1943,0.9993,0.9994
313,6081,all_collapse,31.3,42.0,37.8,403.6,1095.1,441.2,1099.1,409.0,948.7,451.0,950.7,430.4,822.0,460.2,831.5,0.2912,0.1975,0.2072,0.1862,0.9994,0.9994
314,6100,all_collapse,22.6,13.4,18.7,400.8,1089.3,413.3,1075.5,410.4,944.8,420.5,936.1,430.8,821.8,450.9,832.2,0.2664,0.1787,0.1879,0.1682,0.9994,0.9994
324,6294,all_collapse,28.7,31.7,5.1,295.8,894.4,295.3,899.6,402.6,805.7,372.0,797.2,469.7,754.2,441.1,756.7,0.534,0.4766,0.4935,0.44,0.9996,0.9996
329,6391,hip+ankle,37.9,83.6,25.3,276.7,860.2,262.6,839.3,424.0,811.2,359.8,757.7,458.4,741.3,424.5,724.4,0.4649,0.4026,0.3661,0.3425,0.9996,0.9996
335,6508,all_collapse,17.7,33.1,22.1,446.7,966.3,427.8,954.9,458.0,983.8,445.8,953.0,483.0,975.8,482.8,958.1,0.3452,0.3116,0.2452,0.2532,0.9996,0.9996
339,6586,hip+ankle,38.7,61.6,44.4,499.9,1132.6,458.5,1116.4,505.8,985.4,446.6,1002.5,483.2,881.8,444.6,885.3,0.436,0.3376,0.3144,0.2593,0.9995,0.9995
344,6683,hip+ankle,34.5,58.5,25.1,346.5,930.9,325.5,917.2,436.5,812.5,380.1,796.9,470.8,726.6,436.4,729.9,0.4542,0.3372,0.3207,0.2787,0.9996,0.9996
346,6722,all_collapse,12.4,41.6,27.6,447.8,1006.6,460.5,982.1,437.2,865.6,395.6,862.8,462.7,756.3,470.4,766.0,0.4553,0.3138,0.3062,0.2616,0.9997,0.9997
351,6819,all_collapse,10.1,44.7,7.5,444.0,1086.0,439.9,1079.6,459.2,940.0,416.5,926.8,456.9,825.4,452.2,834.4,0.3264,0.2127,0.2285,0.1796,0.9997,0.9997
352,6838,all_collapse,10.0,30.3,36.2,402.5,1077.2,436.5,1064.9,436.0,938.1,408.6,925.0,456.9,820.2,450.5,827.9,0.3094,0.1948,0.2225,0.1652,0.9997,0.9997
353,6858,all_collapse,4.1,17.0,17.1,432.4,1074.1,436.6,1057.5,437.9,935.4,428.3,921.3,461.6,805.2,461.4,809.3,0.2856,0.1766,0.2036,0.149,0.9997,0.9997
354,6877,all_collapse,6.0,30.6,21.9,433.5,1072.8,422.9,1053.6,449.6,934.1,420.6,924.6,463.7,804.8,461.1,810.1,0.295,0.1655,0.2047,0.137,0.9997,0.9998
355,6897,hip+ankle,13.5,65.4,29.5,449.7,1030.6,421.7,1021.3,449.9,918.9,394.6,883.9,464.0,772.9,461.8,786.2,0.2747,0.151,0.1904,0.1243,0.9997,0.9998
356,6916,all_collapse,9.9,34.7,14.3,420.7,1035.8,407.5,1030.3,427.4,919.0,395.3,905.8,462.3,777.2,461.6,787.1,0.2554,0.1396,0.1751,0.1131,0.9997,0.9998
